SIL-ENCE 1.0	sil
singelikhulu 1.0	s i N g E l i k_h u l u
singenalutho 1.0	s i N g E n a l u t_h O
singenamakhethini 1.0	s i N g E n a m a k_h E t_h i n i
singene 1.0	s i N g E n E
singenela 1.0	s i N g E n E l a
singenele 1.0	s i N g E n E l E
singenza 1.0	s i N g E n dz a
singenziwa 1.0	s i N g E n dz i w a
singers 1.0	s i N E z
singers 1.0	s i N g E r s
singesakho 1.0	s i N g E s a k_h O
singesihle 1.0	s i N g E s i K E
singesinye 1.0	s i N g E s i J E
singethulwa 1.0	s i N g E t_h u l w a
singeze 1.0	s i N g E z E
singubufakazi 1.0	s i N g u b_< u f a k a z i
singumkhandlu 1.0	s i N g u m k_h a n K\ u
singumndeni 1.0	s i N g u m n d E n i
singumnyango 1.0	s i N g u m J a N g O
singumvuli 1.0	s i N g u m v u l i
sinike 1.0	s i n i k E
sinikeza 1.0	s i n i k E z a
sinikeze 1.0	s i n i k E z E
sinikezele 1.0	s i n i k E z E l E
sinikezwa 1.0	s i n i k E z w a
sinjalo 1.0	s i J d_0Z a l O
sinjani 1.0	s i J d_0Z a n i
sinomfaniswano 1.0	s i n O m f a n i s w a n O
sinomkhuba 1.0	s i n O m k_h u b_< a
sinomqondo 1.0	s i n O m !\ O n d O
sinomthelela 1.0	s i n O m t_h E l E l a
sinqumo 1.0	s i n !\ u m O
sinyathelo 1.0	s i J a t_h E l O
sinye 1.0	s i J E
siphakamiso 1.0	s i p_h a k a m i s O
siphalaphala 1.0	s i p_h a l a p_h a l a
siphandla 1.0	s i p_h a n K\ a
siphathimandla 1.0	s i p_h a t_h i m a n K\ a
siphazame 1.0	s i p_h a z a m E
siphela 1.0	s i p_h E l a
siphelela 1.0	s i p_h E l E l a
siphelezelwa 1.0	s i p_h E l E z E l w a
siphelezelwe 1.0	s i p_h E l E z E l w E
siphenduka 1.0	s i p_h E n d u k a
siphezulu 1.0	s i p_h E z u l u
siphikisana 1.0	s i p_h i k i s a n a
siphikisane 1.0	s i p_h i k i s a n E
siphila 1.0	s i p_h i l a
siphinde 1.0	s i p_h i n d E
siphindelela 1.0	s i p_h i n d E l E l a
siphithiphithi 1.0	s i p_h i t_h i p_h i t_h i
siphokophelele 1.0	s i p_h O k O p_h E l E l E
siphume 1.0	s i p_h u m E
siphumele 1.0	s i p_h u m E l E
siphumelela 1.0	s i p_h u m E l E l a
siphunyuke 1.0	s i p_h u J u k E
siphuthume 1.0	s i p_h u t_h u m E
siqale 1.0	s i !\ a l E
siqalisile 1.0	s i !\ a l i s i l E
siqede 1.0	s i !\ E d E
siqephu 1.0	s i !\ E p_h u
siqeshana 1.0	s i !\ E S a n a
siqhubeke 1.0	s i !\h u b_< E k E
siqinisekise 1.0	s i !\ i n i s E k i s E
siqinisekiswa 1.0	s i !\ i n i s E k i s w a
siqonde 1.0	s i !\ O n d E
siqondiswe 1.0	s i !\ O n d i s w E
siqu 1.0	s i !\ u
sisabuyiselwa 1.0	s i s a b_< u j i s E l w a
sisakwazi 1.0	s i s a k w a z i
sisale 1.0	s i s a l E
sisapothe 1.0	s i s a p_> O t_h E
sisathathekile 1.0	s i s a t_h a t_h E k i l E
sisavivile 1.0	s i s a v i v i l E
sisebenza 1.0	s i s E b_< E n dz a
sisebenzisana 1.0	s i s E b_< E n dz i s a n a
sisebenzisane 1.0	s i s E b_< E n dz i s a n E
sisehlise 1.0	s i s E K i s E
sisekelo 1.0	s i s E k E l O
sisekelwe 1.0	s i s E k E l w E
siseshowe 1.0	s i s E S O w E
sisesimweni 1.0	s i s E s i m w E n i
sisetshenzwa 1.0	s i s E tS_> E n dz w a
sishanela 1.0	s i S a n E l a
sishaya 1.0	s i S a j a
sishayane 1.0	s i S a j a n E
sishaywe 1.0	s i S a j w E
sishicilelo 1.0	s i S i |\ i l E l O
sisho 1.0	s i S O
sisi 1.0	s i s i
sisize 1.0	s i s i z E
sisu 1.0	s i s u
sisuka 1.0	s i s u k a
sitatimende 1.0	s i t_> a t_> i m E n d E
site 1.0	s a t_h
site 1.0	s i t_> E
siteshi 1.0	s i t_> E S i
sithako 1.0	s i t_h a k O
sithanda 1.0	s i t_h a n d a
sithandane 1.0	s i t_h a n d a n E
sithande 1.0	s i t_h a n d E
sithandwa 1.0	s i t_h a n d w a
sithathe 1.0	s i t_h a t_h E
sithathiswe 1.0	s i t_h a t_h i s w E
sithathwa 1.0	s i t_h a t_h w a
sithathwe 1.0	s i t_h a t_h w E
sithebeni 1.0	s i t_h E b_< E n i
sithelwe 1.0	s i t_h E l w E
sithemba 1.0	s i t_h E m b a
sithethwe 1.0	s i t_h E t_h w E
sithi 1.0	s i t_h i
sithola 1.0	s i t_h O l a
sitholakale 1.0	s i t_h O l a k a l E
sitholwe 1.0	s i t_h O l w E
sithombe 1.0	s i t_h O m b E
sithunyelwa 1.0	s i t_h u J E l w a
sithusa 1.0	s i t_h u s a
sitifiketi 1.0	s i t_> i f i k E t_> i
sitshele 1.0	s i tS_> E l E
sivakashele 1.0	s i v a k a S E l E
sivale 1.0	s i v a l E
sivaleka 1.0	s i v a l E k a
sivalelise 1.0	s i v a l E l i s E
sivame 1.0	s i v a m E
sivela 1.0	s i v E l a
siveza 1.0	s i v E z a
sivezwe 1.0	s i v E z w E
sivivinywa 1.0	s i v i v i J w a
sivukele 1.0	s i v u k E l E
sivuleka 1.0	s i v u l E k a
sivumela 1.0	s i v u m E l a
sivumele 1.0	s i v u m E l E
sivuselele 1.0	s i v u s E l E l E
sivutha 1.0	s i v u t_h a
siwumphakathi 1.0	s i w u m p_h a k a t_h i
siwuphawu 1.0	s i w u p_h a w u
six 1.0	s i |\|\
six 1.0	s i k s
sixoxa 1.0	s i |\|\ O |\|\ a
sixoxe 1.0	s i |\|\ O |\|\ E
siya 1.0	s i j a
siyabonga 1.0	s i j a b_< O N g a
siyacinywa 1.0	s i j a |\ i J w a
siyagqamuka 1.0	s i j a !\g_0 a m u k a
siyahlakazeka 1.0	s i j a K a k a z E k a
siyahloniphana 1.0	s i j a K O n i p_h a n a
siyajabula 1.0	s i j a d_0Z a b_< u l a
siyakhethwa 1.0	s i j a k_h E t_h w a
siyakhishwa 1.0	s i j a k_h i S w a
siyakubophezela 1.0	s i j a k u b_< O p_h E z E l a
siyakwazi 1.0	s i j a k w a z i
siyakwenza 1.0	s i j a k w E n dz a
siyalela 1.0	s i j a l E l a
siyanconcoza 1.0	s i j a n |\ O n |\ O z a
siyanidinga 1.0	s i j a n i d i N g a
siyaphinda 1.0	s i j a p_h i n d a
siyaphithizela 1.0	s i j a p_h i t_h i z E l a
siyaqhubekile 1.0	s i j a !\h u b_< E k i l E
siyaqonda 1.0	s i j a !\ O n d a
siyayoyisa 1.0	s i j a j O j i s a
siyazi 1.0	s i j a z i
siyazibophezela 1.0	s i j a z i b_< O p_h E z E l a
siyazidinga 1.0	s i j a z i d i N g a
siye 1.0	s i j E
siyefana 1.0	s i j E f a n a
siyeke 1.0	s i j E k E
siyenze 1.0	s i j E n dz E
siyephu 1.0	s i j E p_h u
siyezwana 1.0	s i j E z w a n a
siyicala 1.0	s i j i |\ a l a
siyidlale 1.0	s i j i K\ a l E
siyilokhu 1.0	s i j i l O k_h u
siyincwadi 1.0	s i j i n |\ w a d i
siyinkinga 1.0	s i j i N k i N g a
siyisifo 1.0	s i j i s i f O
siyisikalo 1.0	s i j i s i k a l O
siyisikhulu 1.0	s i j i s i k_h u l u
siyisiqalekiso 1.0	s i j i s i !\ a l E k i s O
siyisiqinisekiso 1.0	s i j i s i !\ i n i s E k i s O
siyithole 1.0	s i j i t_h O l E
siyixoxe 1.0	s i j i |\|\ O |\|\ E
siyixoxile 1.0	s i j i |\|\ O |\|\ i l E
siyizehluleki 1.0	s i j i z E K u l E k i
siyizwe 1.0	s i j i z w E
siyoba 1.0	s i j O b_< a
siyobhala 1.0	s i j O b a l a
siyobona 1.0	s i j O b_< O n a
siyofeza 1.0	s i j O f E z a
siyohamba 1.0	s i j O h a m b a
siyohlinzeka 1.0	s i j O K i n dz E k a
siyokhokhelwa 1.0	s i j O k_h O k_h E l w a
siyokuzwisa 1.0	s i j O k u z w i s a
siyonqunywa 1.0	s i j O n !\ u J w a
siyoqala 1.0	s i j O !\ a l a
siyoqeda 1.0	s i j O !\ E d a
siyoqinisekiswa 1.0	s i j O !\ i n i s E k i s w a
siyosebenza 1.0	s i j O s E b_< E n dz a
siyothi 1.0	s i j O t_h i
siza 1.0	s i z a
sizakugcina 1.0	s i z a k u |\g_0 i n a
sizakwenza 1.0	s i z a k w E n dz a
sizama 1.0	s i z a m a
sizathu 1.0	s i z a t_h u
sizazi 1.0	s i z a z i
size 1.0	s a z
size 1.0	s i z E
sizenze 1.0	s i z E n dz E
sizi 1.0	s i z i
sizibekele 1.0	s i z i b_< E k E l E
sizibuke 1.0	s i z i b_< u k E
sizifakele 1.0	s i z i f a k E l E
sizifeze 1.0	s i z i f E z E
sizigenqezela 1.0	s i z i g E n !\ E z E l a
sizihloniphe 1.0	s i z i K O n i p_h E
sizikhokhele 1.0	s i z i k_h O k_h E l E
sizinda 1.0	s i z i n d a
sizithatha 1.0	s i z i t_h a t_h a
sizithole 1.0	s i z i t_h O l E
sizizwa 1.0	s i z i z w a
sizo 1.0	s i z O
sizobalula 1.0	s i z O b_< a l u l a
sizobuye 1.0	s i z O b_< u j E
sizohamba 1.0	s i z O h a m b a
sizohlala 1.0	s i z O K a l a
sizohlinzeka 1.0	s i z O K i n dz E k a
sizoholwa 1.0	s i z O h O l w a
sizokuba 1.0	s i z O k u b_< a
sizokube 1.0	s i z O k u b_< E
sizokulanda 1.0	s i z O k u l a n d a
sizokwakha 1.0	s i z O k w a k_h a
sizokwazi 1.0	s i z O k w a z i
sizokwazisa 1.0	s i z O k w a z i s a
sizokwenza 1.0	s i z O k w E n dz a
sizomthola 1.0	s i z O m t_h O l a
sizophathwa 1.0	s i z O p_h a t_h w a
sizophinde 1.0	s i z O p_h i n d E
sizophu 1.0	s i z O p_h u
sizoqala 1.0	s i z O !\ a l a
sizoqhubeka 1.0	s i z O !\h u b_< E k a
sizoqinisa 1.0	s i z O !\ i n i s a
sizoqinisekisa 1.0	s i z O !\ i n i s E k i s a
sizosetshenziselwa 1.0	s i z O s E tS_> E n dz i s E l w a
sizothenga 1.0	s i z O t_h E N g a
sizotholwa 1.0	s i z O t_h O l w a
sizozifunda 1.0	s i z O z i f u n d a
sizukulwane 1.0	s i z u k u l w a n E
sizwe 1.0	s i z w E
sj 1.0	E s d_0Z E
skorishwa 1.0	s k O r i S w a
slum 1.0	s l a m
slum 1.0	s l u m
smangaliswa 1.0	s m a N g a l i s w a
smart 1.0	s m a r t_h
smart 1.0	s m a t_h
smme 1.0	E s E m E m i
sobabili 1.0	s O b_< a b_< i l i
sobala 1.0	s O b_< a l a
sobandlululo 1.0	s O b_< a n K\ u l u l O
sobathathu 1.0	s O b_< a t_h a t_h u
sobhaliso 1.0	s O b a l i s O
sobuchwephesha 1.0	s O b_< u |\h w E p_h E S a
sobuchwepheshe 1.0	s O b_< u |\h w E p_h E S E
sobudala 1.0	s O b_< u d a l a
sobufakazi 1.0	s O b_< u f a k a z i
sobuhlobo 1.0	s O b_< u K O b_< O
sobukhona 1.0	s O b_< u k_h O n a
sobukhosi 1.0	s O b_< u k_h O s i
sobulili 1.0	s O b_< u l i l i
sobulungiswa 1.0	s O b_< u l u N g i s w a
sobumama 1.0	s O b_< u m a m a
sobuntu 1.0	s O b_< u n t_> u
sobuqiniso 1.0	s O b_< u !\ i n i s O
sobusika 1.0	s O b_< u s i k a
soccer 1.0	s O |\ |\ E r
soccer 1.0	s O k E r
social 1.0	s O |\ i a l
social 1.0	s O s E l
socialist 1.0	s O |\ i a l i s t_h
socialist 1.0	s O s E l E s t_h
soco 1.0	s O |\ O
sodaba 1.0	s O d a b_< a
sodlame 1.0	s O K\ a m E
sodokotela 1.0	s O d O k O t_> E l a
sodwa 1.0	s O d w a
sofa 1.0	s E f E
sofa 1.0	s O f a
sofuba 1.0	s O f u b_< a
sogesi 1.0	s O g E s i
sogonyo 1.0	s O g O J O
soguquko 1.0	s O g u !\ u k O
sogwayi 1.0	s O g w a j i
sohambo 1.0	s O h a m b O
sohlala 1.0	s O K a l a
sohlelo 1.0	s O K E l O
sohlobo 1.0	s O K O b_< O
sok 1.0	s O k
sokhetho 1.0	s O k_h E t_h O
sokondla 1.0	s O k O n K\ a
soku 1.0	s O k u
sokuba 1.0	s O k u b_< a
sokubabona 1.0	s O k u b_< a b_< O n a
sokubambisana 1.0	s O k u b_< a m b i s a n a
sokubeka 1.0	s O k u b_< E k a
sokubeletha 1.0	s O k u b_< E l E t_h a
sokubhalisa 1.0	s O k u b a l i s a
sokubhalisela 1.0	s O k u b a l i s E l a
sokubhaliswa 1.0	s O k u b a l i s w a
sokubhekana 1.0	s O k u b E k a n a
sokubhema 1.0	s O k u b E m a
sokubika 1.0	s O k u b_< i k a
sokubikezela 1.0	s O k u b_< i k E z E l a
sokubonisana 1.0	s O k u b_< O n i s a n a
sokubopha 1.0	s O k u b_< O p_h a
sokubulala 1.0	s O k u b_< u l a l a
sokubuqeda 1.0	s O k u b_< u !\ E d a
sokubusa 1.0	s O k u b_< u s a
sokubuyekezwa 1.0	s O k u b_< u j E k E z w a
sokubuyiselwa 1.0	s O k u b_< u j i s E l w a
sokuchaza 1.0	s O k u |\h a z a
sokucutshungulwa 1.0	s O k u |\ u tS_> u N g u l w a
sokudla 1.0	s O k u K\ a
sokudlondlobala 1.0	s O k u K\ O n K\ O b_< a l a
sokudlulisa 1.0	s O k u K\ u l i s a
sokufakazela 1.0	s O k u f a k a z E l a
sokufakela 1.0	s O k u f a k E l a
sokufingqa 1.0	s O k u f i N !\g_0 a
sokufinyelela 1.0	s O k u f i J E l E l a
sokufunda 1.0	s O k u f u n d a
sokufundisa 1.0	s O k u f u n d i s a
sokufundiswa 1.0	s O k u f u n d i s w a
sokuganana 1.0	s O k u g a n a n a
sokugqumisa 1.0	s O k u !\g_0 u m i s a
sokugunyazwa 1.0	s O k u g u J a z w a
sokuguqula 1.0	s O k u g u !\ u l a
sokuguqulwa 1.0	s O k u g u !\ u l w a
sokuhamba 1.0	s O k u h a m b a
sokuhambela 1.0	s O k u h a m b E l a
sokuhlala 1.0	s O k u K a l a
sokuhlanganisa 1.0	s O k u K a N g a n i s a
sokuhlanza 1.0	s O k u K a n dz a
sokuhlaziya 1.0	s O k u K a z i j a
sokuhlela 1.0	s O k u K E l a
sokuhlelisisa 1.0	s O k u K E l i s i s a
sokuhlelwa 1.0	s O k u K E l w a
sokuhlinzeka 1.0	s O k u K i n dz E k a
sokuhlola 1.0	s O k u K O l a
sokuhlongozwe 1.0	s O k u K O N g O z w E
sokuhlukanisa 1.0	s O k u K u k a n i s a
sokuholela 1.0	s O k u h O l E l a
sokujingana 1.0	s O k u d_0Z i N g a n a
sokukala 1.0	s O k u k a l a
sokukhanselwa 1.0	s O k u k_h a n ts_> E l w a
sokukhanya 1.0	s O k u k_h a J a
sokukhokha 1.0	s O k u k_h O k_h a
sokukhoselisa 1.0	s O k u k_h O s E l i s a
sokukhubazeka 1.0	s O k u k_h u b_< a z E k a
sokukhula 1.0	s O k u k_h u l a
sokukhulisa 1.0	s O k u k_h u l i s a
sokukhuphula 1.0	s O k u k_h u p_h u l a
sokukhuthaza 1.0	s O k u k_h u t_h a z a
sokukwamukela 1.0	s O k u k w a m u k E l a
sokukweleta 1.0	s O k u k w E l E t_> a
sokulawula 1.0	s O k u l a w u l a
sokulayisha 1.0	s O k u l a j i S a
sokulinda 1.0	s O k u l i n d a
sokulinga 1.0	s O k u l i N g a
sokulungisa 1.0	s O k u l u N g i s a
sokumaketha 1.0	s O k u m a k E t_h a
sokumpompa 1.0	s O k u m p_> O m p_> a
sokunakekela 1.0	s O k u n a k E k E l a
sokuncelisa 1.0	s O k u n |\ E l i s a
sokuncephezelwa 1.0	s O k u n |\ E p_h E z E l w a
sokundiza 1.0	s O k u n d i z a
sokungabaleki 1.0	s O k u N g a b_< a l E k i
sokungabi 1.0	s O k u N g a b_< i
sokungakwazi 1.0	s O k u N g a k w a z i
sokungazibophezeli 1.0	s O k u N g a z i b_< O p_h E z E l i
sokungenzeka 1.0	s O k u N g E n dz E k a
sokungezelelwa 1.0	s O k u N g E z E l E l w a
sokunxele 1.0	s O k u n |\|\ E l E
sokuphatha 1.0	s O k u p_h a t_h a
sokuphenduka 1.0	s O k u p_h E n d u k a
sokuphetha 1.0	s O k u p_h E t_h a
sokuphila 1.0	s O k u p_h i l a
sokuphindisela 1.0	s O k u p_h i n d i s E l a
sokuphumula 1.0	s O k u p_h u m u l a
sokuphutha 1.0	s O k u p_h u t_h a
sokuqala 1.0	s O k u !\ a l a
sokuqapha 1.0	s O k u !\ a p_h a
sokuqeda 1.0	s O k u !\ E d a
sokuqhuba 1.0	s O k u !\h u b_< a
sokuqhubekisa 1.0	s O k u !\h u b_< E k i s a
sokuqinisekisa 1.0	s O k u !\ i n i s E k i s a
sokurejista 1.0	s O k u r E d_0Z i s t_> a
sokusakaza 1.0	s O k u s a k a z a
sokusebenza 1.0	s O k u s E b_< E n dz a
sokusebenzisa 1.0	s O k u s E b_< E n dz i s a
sokushada 1.0	s O k u S a d a
sokushintsha 1.0	s O k u S i n tS_> a
sokushona 1.0	s O k u S O n a
sokusulwa 1.0	s O k u s u l w a
sokusungula 1.0	s O k u s u N g u l a
sokususa 1.0	s O k u s u s a
sokuthatha 1.0	s O k u t_h a t_h a
sokuthi 1.0	s O k u t_h i
sokuthola 1.0	s O k u t_h O l a
sokuthumela 1.0	s O k u t_h u m E l a
sokuthunjwa 1.0	s O k u t_h u J d_0Z w a
sokuthuthukisa 1.0	s O k u t_h u t_h u k i s a
sokuvikela 1.0	s O k u v i k E l a
sokuvikeleka 1.0	s O k u v i k E l E k a
sokuvimbela 1.0	s O k u v i m b E l a
sokuvivinya 1.0	s O k u v i v i J a
sokuvota 1.0	s O k u v O t_> a
sokuvuma 1.0	s O k u v u m a
sokuvuselelwa 1.0	s O k u v u s E l E l w a
sokuwachitha 1.0	s O k u w a |\h i t_h a
sokuwohlozwa 1.0	s O k u w O K O z w a
sokuxazulula 1.0	s O k u |\|\ a z u l u l a
sokuzalela 1.0	s O k u z a l E l a
sokuzalwa 1.0	s O k u z a l w a
sokuzemukela 1.0	s O k u z E m u k E l a
sokuzibhalisa 1.0	s O k u z i b a l i s a
sokuzilolonga 1.0	s O k u z i l O l O N g a
sokuzivikela 1.0	s O k u z i v i k E l a
sokwaba 1.0	s O k w a b_< a
sokwakha 1.0	s O k w a k_h a
sokwakhiwa 1.0	s O k w a k_h i w a
sokwamukela 1.0	s O k w a m u k E l a
sokwamukeleka 1.0	s O k w a m u k E l E k a
sokwamukelwa 1.0	s O k w a m u k E l w a
sokwebolekisa 1.0	s O k w E b_< O l E k i s a
sokwedlulisa 1.0	s O k w E K\ u l i s a
sokwedluliswa 1.0	s O k w E K\ u l i s w a
sokwehlisa 1.0	s O k w E K i s a
sokwehlukana 1.0	s O k w E K u k a n a
sokweluleka 1.0	s O k w E l u l E k a
sokwengeza 1.0	s O k w E N g E z a
sokwenza 1.0	s O k w E n dz a
sokwenziwa 1.0	s O k w E n dz i w a
sokweseka 1.0	s O k w E s E k a
sokwethembeka 1.0	s O k w E t_h E m b E k a
sokwethula 1.0	s O k w E t_h u l a
solawulo 1.0	s O l a w u l O
solediyetha 1.0	s O l E d i j E t_h a
solimi 1.0	s O l i m i
soloku 1.0	s O l O k u
solwazi 1.0	s O l w a z i
somanyolo 1.0	s O m a J O l O
sombhalo 1.0	s O m b a l O
sombiko 1.0	s O m b i k O
sombuso 1.0	s O m b u s O
sombuthano 1.0	s O m b u t_h a n O
somdwebo 1.0	s O m d w E b_< O
somfula 1.0	s O m f u l a
somfundi 1.0	s O m f u n d i
somgomo 1.0	s O m g O m O
somgwaqo 1.0	s O m g w a !\ O
somhambi 1.0	s O m h a m b i
somhlaba 1.0	s O m K a b_< a
somhlangano 1.0	s O m K a N g a n O
somholo 1.0	s O m h O l O
somkhakha 1.0	s O m k_h a k_h a
somkhandlu 1.0	s O m k_h a n K\ u
somkhaya 1.0	s O m k_h a j a
somkhiqizo 1.0	s O m k_h i !\ i z O
somkhumbi 1.0	s O m k_h u m b i
somlamuli 1.0	s O m l a m u l i
somlawuli 1.0	s O m l a w u l i
somlomo 1.0	s O m l O m O
somlondolozi 1.0	s O m l O n d O l O z i
somlungu 1.0	s O m l u N g u
somndeni 1.0	s O m n d E n i
somngcwabo 1.0	s O m N |\g_0 w a b_< O
somnotho 1.0	s O m n O t_h O
somnyango 1.0	s O m J a N g O
somoya 1.0	s O m O j a
somphakathi 1.0	s O m p_h a k a t_h i
somphako 1.0	s O m p_h a k O
somphumela 1.0	s O m p_h u m E l a
somqashwa 1.0	s O m !\ a S w a
somsakazo 1.0	s O m s a k a z O
somshado 1.0	s O m S a d O
somthetho 1.0	s O m t_h E t_h O
somthethosisekelo 1.0	s O m t_h E t_h O s i s E k E l O
somumo 1.0	s O m u m O
somuntu 1.0	s O m u n t_> u
somunwe 1.0	s O m u n w E
somunye 1.0	s O m u J E
somvuzo 1.0	s O m v u z O
somyalelo 1.0	s O m j a l E l O
somyalo 1.0	s O m j a l O
somzimba 1.0	s O m z i m b a
sona 1.0	s O n a
sondela 1.0	s O n d E l a
songaphansi 1.0	s O N g a p_h a n ts_> i
songo 1.0	s O N g O
songqongqoshe 1.0	s O N !\g_0 O N !\g_0 O S E
sonke 1.0	s O N k E
sonobhala 1.0	s O n O b a l a
sonqenqemeni 1.0	s O n !\ E n !\ E m E n i
sonto 1.0	s O n t_> O
sonyaka 1.0	s O J a k a
sophawu 1.0	s O p_h a w u
soshintsho 1.0	s O S i n tS_> O
sosuku 1.0	s O s u k u
sotshwala 1.0	s O tS_> w a l a
source 1.0	s O s
source 1.0	s O u r |\ E
south 1.0	s a f
south 1.0	s O u t_h
southeast 1.0	s a f i s t_h
southeast 1.0	s O u t_h E a s t_h
southwestern 1.0	s a f w E s t_h E n
southwestern 1.0	s O u t_h w E s t_> E r n
sowesilisa 1.0	s O w E s i l i s a
sox 1.0	s O |\|\
sox 1.0	s O k s
soxolo 1.0	s O |\|\ O l O
soyedwa 1.0	s O j E d w a
space 1.0	s p_> a |\ E
space 1.0	s p_h E s
spca 1.0	E s p_h i s i E
special 1.0	s p_> E |\ i a l
special 1.0	s p_h E s E l
sport 1.0	s p_h O t_h
sport 1.0	s p_> O r t_h
stage 1.0	s t_> a g E
stage 1.0	s t_h E d_0Z
state 1.0	s t_> a t_> E
state 1.0	s t_h E t_h
states 1.0	s t_> a t_> E s
states 1.0	s t_h E t_h s
station 1.0	s t_> a t_> i O n
station 1.0	s t_h E s E n
steady 1.0	s t_> E a d j
steady 1.0	s t_h E d i
stock 1.0	s t_h O k
stock 1.0	s t_> O |\ k
streams 1.0	s t_h r E a m s
streams 1.0	s t_h r i m z
street 1.0	s t_h r E E t_h
street 1.0	s t_h r i t_h
stroyi 1.0	s t_h r O j i
success 1.0	s E k s E s
success 1.0	s u |\ |\ E s s
suku 1.0	s u k u
sula 1.0	s u l a
supreme 1.0	s u p_h r i m
supreme 1.0	s u p_> r E m E
susa 1.0	s u s a
suu 1.0	E s j u j u
suu 1.0	s u u
suzman 1.0	s u z m a n
sweluboya 1.0	s w E l u b_< O j a
swiss 1.0	s w E s
swiss 1.0	s w i s s
sydney 1.0	s E d n i
sydney 1.0	s j d n E j
syndrome 1.0	s E n d r O m
syndrome 1.0	s j n d r O m E
system 1.0	s E s t_h E m
system 1.0	s j s t_> E m
systems 1.0	s E s t_h E m z
systems 1.0	s j s t_> E m s
tajawo 1.0	t_> a d_0Z a w O
talewo 1.0	t_> a l E w O
tampa 1.0	t_> a m p_> a
tampa 1.0	t_h a m p_h E
tanzania 1.0	t_> a n dz a n i a
tanzania 1.0	t_h a n z E n E
tax 1.0	t_> a |\|\
tax 1.0	t_h a k s
te 1.0	t_> E
te 1.0	t_h i i
team 1.0	t_> E a m
team 1.0	t_h i m
teams 1.0	t_> E a m s
teams 1.0	t_h i m z
tela 1.0	t_> E l a
television 1.0	t_> E l E v i s i O n
television 1.0	t_h E l i v i d_0Z E n
tep 1.0	t_> E p_>
terms 1.0	t_> E r m s
terms 1.0	t_h a m z
testament 1.0	t_> E s t_> a m E n t_>
testament 1.0	t_h E s t_h E m E n t_h
tha 1.0	t_h a
thala 1.0	t_h a l a
the 1.0	d E
the 1.0	t_h E
thelo 1.0	t_h E l O
themba 1.0	t_h E m b a
themes 1.0	f i m z
themes 1.0	t_h E m E s
then 1.0	d E n
then 1.0	t_h E n
thengela 1.0	t_h E N g E l a
thi 1.0	t_h i
thile 1.0	t_h i l E
thimba 1.0	t_h i m b a
thina 1.0	t_h i n a
thintana 1.0	t_h i n t_> a n a
thize 1.0	t_h i z E
thizeni 1.0	t_h i z E n i
thobela 1.0	t_h O b_< E l a
thoyana 1.0	t_h O j a n a
thrip 1.0	t_h i E tS_> a r a p_h i
thuba 1.0	t_h u b_< a
thubani 1.0	t_h u b_< a n i
thugela 1.0	t_h u g E l a
thukela 1.0	t_h u k E l a
thula 1.0	t_h u l a
thumela 1.0	t_h u m E l a
thuthu 1.0	t_h u t_h u
thuthukisa 1.0	t_h u t_h u k i s a
thwishi 1.0	t_h w i S i
tissa 1.0	t_> i s s a
tito 1.0	t_h i t_h O
tito 1.0	t_> i t_> O
tk 1.0	t_h i k E
tolo 1.0	t_> O l O
tony 1.0	t_h O n i
tony 1.0	t_> O J
top 1.0	t_h O p_h
top 1.0	t_> O p_>
topological 1.0	t_h O p_h E l O d_0Z i k E l
topological 1.0	t_> O p_> O l O g i |\ a l
toronto 1.0	t_h E r O n t_h O
toronto 1.0	t_> O r O n t_> O
trade 1.0	t_h r a d E
trade 1.0	t_h r E d
transmitted 1.0	t_h r a n ts_> m i t_h t_> E d
transmitted 1.0	t_h r a n z m E t_h E d
trasnet 1.0	t_h r a s n E t_h
tree 1.0	t_h r E E
tree 1.0	t_h r i
true 1.0	t_h r u
true 1.0	t_h r u E
trustee 1.0	t_h r a s t_h i
trustee 1.0	t_h r u s t_> E E
trustees 1.0	t_h r a s t_h i z
trustees 1.0	t_h r u s t_> E E s
tshali 1.0	tS_> a l i
tshela 1.0	tS_> E l a
tshwala 1.0	tS_> w a l a
tsumisano 1.0	tS_> u m i s a n O
u 1.0	j u
uadoni 1.0	u a d O n i
ub 1.0	u b_<
uba 1.0	u b_< a
ubaba 1.0	u b_< a b_< a
ubabekazi 1.0	u b_< a b_< E k a z i
ubabuka 1.0	u b_< a b_< u k a
ubala 1.0	u b_< a l a
ubaleke 1.0	u b_< a l E k E
ubalulekile 1.0	u b_< a l u l E k i l E
ubalwe 1.0	u b_< a l w E
ubani 1.0	u b_< a n i
ubasolile 1.0	u b_< a s O l i l E
ube 1.0	u b_< E
ubebaphethe 1.0	u b_< E b_< a p_h E t_h E
ubeka 1.0	u b_< E k a
ubeke 1.0	u b_< E k E
ubekhiphe 1.0	u b_< E k_h i p_h E
ubekwa 1.0	u b_< E k w a
ubelelesi 1.0	u b_< E l E l E s i
ubenade 1.0	u b_< E n a d E
ubengasazi 1.0	u b_< E N g a s a z i
ubengeke 1.0	u b_< E N g E k E
ubengumuntu 1.0	u b_< E N g u m u n t_> u
ubenolwazi 1.0	u b_< E n O l w a z i
ubenze 1.0	u b_< E n dz E
ubesefuna 1.0	u b_< E s E f u n a
ubeseshonephi 1.0	u b_< E s E S O n E p_h i
ubesewagcwalisile 1.0	u b_< E s E w a |\g_0 w a l i s i l E
ubethi 1.0	u b_< E t_h i
ubethwa 1.0	u b_< E t_h w a
